"observed" "true_population"
-0.098431 0.0204349791375876
-0.188888 -0.0297341134252991
0.524533 0.218892770657212
0.66163 0.46917367530839
0.618028 0.550307401879488
-0.028031 0.597879699505086
0.601221 0.58506686133413
0.530695 0.378942918470186
1.269626 0.573003366578351
0.61989 0.639622699101125
0.072918 0.37736889245335
0.932402 0.437568487264373
1.423945 0.387564636844873
0.763217 0.417113623909279
-0.012443 0.379157392161609
-0.037756 0.227510803959993
-0.002363 0.4856495897162
0.808504 0.657993249626873
0.596511 0.880235251485118
-0.284476 0.587743963614229
0.746339 0.383252876598737
0.581147 0.633211022303799
0.380347 0.625471984459858
1.478686 0.514784296950798
0.545143 0.599625709513929
0.831198 0.711452236888394
1.056335 0.937942724446074
0.544023 0.683206549514874
0.931244 0.819506406745699
1.636344 1.05781876416976
1.467778 1.20626032396122
1.129036 0.935331948832871
0.997282 0.789329666008701
1.290083 0.89601701982733
0.920465 0.596361912489808
